file_key,emotion,source,full_path
Q1_0vLPYiPN7qY_0,happy,emopia,dataset_root/raw/labelled/emopia/Q1_0vLPYiPN7qY_0.mid
Q1_0vLPYiPN7qY_1,happy,emopia,dataset_root/raw/labelled/emopia/Q1_0vLPYiPN7qY_1.mid
Q1_0vLPYiPN7qY_2,happy,emopia,dataset_root/raw/labelled/emopia/Q1_0vLPYiPN7qY_2.mid
Q1_1Qc15G0ZHIg_1,happy,emopia,dataset_root/raw/labelled/emopia/Q1_1Qc15G0ZHIg_1.mid
Q1_1Qc15G0ZHIg_2,happy,emopia,dataset_root/raw/labelled/emopia/Q1_1Qc15G0ZHIg_2.mid
Q1_1Qc15G0ZHIg_3,happy,emopia,dataset_root/raw/labelled/emopia/Q1_1Qc15G0ZHIg_3.mid
Q1_1vjy9oMFa8c_2,happy,emopia,dataset_root/raw/labelled/emopia/Q1_1vjy9oMFa8c_2.mid
Q1_1vjy9oMFa8c_4,happy,emopia,dataset_root/raw/labelled/emopia/Q1_1vjy9oMFa8c_4.mid
Q1_1vjy9oMFa8c_5,happy,emopia,dataset_root/raw/labelled/emopia/Q1_1vjy9oMFa8c_5.mid
Q1_2Z9SjI131jA_0,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_0.mid
Q1_2Z9SjI131jA_1,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_1.mid
Q1_2Z9SjI131jA_10,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_10.mid
Q1_2Z9SjI131jA_11,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_11.mid
Q1_2Z9SjI131jA_12,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_12.mid
Q1_2Z9SjI131jA_13,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_13.mid
Q1_2Z9SjI131jA_14,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_14.mid
Q1_2Z9SjI131jA_15,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_15.mid
Q1_2Z9SjI131jA_2,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_2.mid
Q1_2Z9SjI131jA_3,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_3.mid
Q1_2Z9SjI131jA_4,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_4.mid
Q1_2Z9SjI131jA_7,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_7.mid
Q1_2Z9SjI131jA_8,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_8.mid
Q1_2Z9SjI131jA_9,happy,emopia,dataset_root/raw/labelled/emopia/Q1_2Z9SjI131jA_9.mid
Q1_3N2G21U7guk_3,happy,emopia,dataset_root/raw/labelled/emopia/Q1_3N2G21U7guk_3.mid
Q1_3N2G21U7guk_5,happy,emopia,dataset_root/raw/labelled/emopia/Q1_3N2G21U7guk_5.mid
Q1_3N2G21U7guk_6,happy,emopia,dataset_root/raw/labelled/emopia/Q1_3N2G21U7guk_6.mid
Q1_3ahg_eQZhxs_0,happy,emopia,dataset_root/raw/labelled/emopia/Q1_3ahg_eQZhxs_0.mid
