file_key,emotion,source,full_path,npz_filename
Q1_2Z9SjI131jA_15,happy,emopia,data/raw/labelled/emopia/Q1_2Z9SjI131jA_15.mid,emopia_Q1_2Z9SjI131jA_15.npz
Q2_ZTrEoB8T9YA_0,angry,emopia,data/raw/labelled/emopia/Q2_ZTrEoB8T9YA_0.mid,emopia_Q2_ZTrEoB8T9YA_0.npz
labelled/phrases/Other_PC_The Sims_The Neighbourhood_0.mid,calm,vgmidi,data/raw/labelled/vgmidi/Other_PC_The Sims_The Neighbourhood.mid,vgmidi_Other_PC_The_Sims_The_Neighbourhood.npz
Q1_ANZf1QXsNrY_1,happy,emopia,data/raw/labelled/emopia/Q1_ANZf1QXsNrY_1.mid,emopia_Q1_ANZf1QXsNrY_1.npz
Q1_im4Qxn3GQvo_0,happy,emopia,data/raw/labelled/emopia/Q1_im4Qxn3GQvo_0.mid,emopia_Q1_im4Qxn3GQvo_0.npz
Q3_TonQX8XbvX8_1,sad,emopia,data/raw/labelled/emopia/Q3_TonQX8XbvX8_1.mid,emopia_Q3_TonQX8XbvX8_1.npz
Q4_jSWItJI-Gmk_0,calm,emopia,data/raw/labelled/emopia/Q4_jSWItJI-Gmk_0.mid,emopia_Q4_jSWItJI-Gmk_0.npz
Q1_2Z9SjI131jA_3,happy,emopia,data/raw/labelled/emopia/Q1_2Z9SjI131jA_3.mid,emopia_Q1_2Z9SjI131jA_3.npz
labelled/phrases/Star Fox_SNES_Star Fox_Map_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Star Fox_SNES_Star Fox_Map.mid,vgmidi_Star_Fox_SNES_Star_Fox_Map.npz
Q3_uj3Gif77SYM_3,sad,emopia,data/raw/labelled/emopia/Q3_uj3Gif77SYM_3.mid,emopia_Q3_uj3Gif77SYM_3.npz
Q3_uj3Gif77SYM_1,sad,emopia,data/raw/labelled/emopia/Q3_uj3Gif77SYM_1.mid,emopia_Q3_uj3Gif77SYM_1.npz
Q2_wfXSdMsd4q8_5,angry,emopia,data/raw/labelled/emopia/Q2_wfXSdMsd4q8_5.mid,emopia_Q2_wfXSdMsd4q8_5.npz
Q1_QwsQ8ejbMKg_0,happy,emopia,data/raw/labelled/emopia/Q1_QwsQ8ejbMKg_0.mid,emopia_Q1_QwsQ8ejbMKg_0.npz
Q2_RiQMuhk_SuQ_3,angry,emopia,data/raw/labelled/emopia/Q2_RiQMuhk_SuQ_3.mid,emopia_Q2_RiQMuhk_SuQ_3.npz
Q3_zjr_-ql5Avk_0,sad,emopia,data/raw/labelled/emopia/Q3_zjr_-ql5Avk_0.mid,emopia_Q3_zjr_-ql5Avk_0.npz
labelled/phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Cremias Wagon Ride_0.mid,calm,vgmidi,data/raw/labelled/vgmidi/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Cremias Wagon Ride.mid,vgmidi_The_Legend_of_Zelda_N64_The_Legend_of_Zelda_Majora_s_Mask_Cremias_Wagon_Ride.npz
Q2_9v2WSpn4FCw_5,angry,emopia,data/raw/labelled/emopia/Q2_9v2WSpn4FCw_5.mid,emopia_Q2_9v2WSpn4FCw_5.npz
Q2_FUAK5TBaNY8_1,angry,emopia,data/raw/labelled/emopia/Q2_FUAK5TBaNY8_1.mid,emopia_Q2_FUAK5TBaNY8_1.npz
